relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
True	0.127407	0.05741235	0.0478142	0.164902	0.1375545	0.109627
background1	0.0736701	0.07817645	0.0688924	0.210535	0.0999158	0.09346655
background2	0.0838202	0.09929045	0.0588395	0.0727729	0.1037255	0.0984196
background3	0.0488883	0.06623075	0.0612245	0.186956	0.1050725	0.108746
background4	0.101834	0.09838285	0.0626357	0.126067	0.1157115	0.0997554
background5	-0.00345447	0.0884809	0.0649231	0.0775122	0.10536	0.09809785
background6	0.018654	0.0930834	0.0687536	0.184027	0.128578	0.09993205
background7	0.099259	0.07986345	0.0636915	0.184253	0.132953	0.102279
background8	0.0568287	0.06375915	0.0685662	0.162589	0.13039	0.0941211
background9	0.0978902	0.0870647	0.0647546	0.0722205	0.124309	0.10047
background10	-0.00804498	0.07180915	0.0545714	0.175628	0.1225165	0.099567
background11	0.0584379	0.08924485	0.0702878	0.140726	0.110437	0.0967973
background12	0.000362812	0.057568	0.0626357	0.140366	0.1056275	0.110242
background13	0.105845	0.08600945	0.0669064	0.153061	0.1142955	0.104721
background14	0.04087	0.0774113	0.0641496	0.10062	0.117207	0.1033805
background15	0.0418348	0.07294335	0.0632296	0.128902	0.106733	0.0987143
background16	0.121092	0.0826397	0.0594719	0.16604	0.1067805	0.09616615
background17	0.0151143	0.08033055	0.0730328	0.173469	0.124622	0.100381
background18	0.0735459	0.0589864	0.0578725	0.188485	0.118233	0.101387
background19	0.0838304	0.094644	0.0627859	0.12503	0.150793	0.09996625
background20	0.0584762	0.101091	0.0670138	0.0927141	0.1308715	0.0978942
background21	0.10047	0.0938227	0.073592	0.137991	0.114954	0.10259
background22	0.0291122	0.06292555	0.0585867	0.133175	0.1049445	0.099259
background23	0.0513111	0.0669287	0.0640363	0.204457	0.1032965	0.09733945
background24	0.102041	0.08206355	0.0658199	0.120596	0.117403	0.105722
background25	0.0234323	0.05980005	0.0643383	0.147406	0.120629	0.0957388
background26	0.0455774	0.06843765	0.060887	0.193878	0.117553	0.10047
background27	0.0612938	0.0666398	0.0637527	0.088606	0.10153	0.09932145
background28	0.10129	0.07462225	0.0638029	0.107932	0.0987103	0.1070045
background29	0.095334	0.0868814	0.0580192	0.154586	0.1004012	0.1016895
background30	0.0308595	0.08655985	0.0663512	0.208242	0.1165825	0.106654
background31	-0.000203092	0.08545925	0.0689194	0.159502	0.09533045	0.09837335
background32	0.0258546	0.104932	0.0688817	0.158188	0.08410905	0.100449
background33	0.112985	0.0930465	0.0626357	0.0847057	0.1153455	0.0933895
background34	0.098722	0.07640385	0.0636019	0.167173	0.110497	0.0990221
background35	0.0718548	0.0812242	0.0626357	0.0333002	0.1206095	0.0953446
background36	0.0178467	0.0590867	0.061702	0.140005	0.1268905	0.1010155
background37	0.0958904	0.05983255	0.0639409	0.140252	0.111622	0.1012145
background38	0.159342	0.0841265	0.0573512	0.130006	0.1249685	0.1050475
background39	0.114016	0.07986175	0.0594719	0.123129	0.1425995	0.1012865
background40	0.0672342	0.0842126	0.0619488	0.139416	0.122987	0.1003885
background41	0.16086	0.05899475	0.0702878	0.131395	0.1094975	0.104077
