relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
True	0.3018555	0.163265	0.13066	0.109302	0.0653655	0.0839942
background1	0.1660175	0.126641	0.105599	0.000766122	0.0854261	0.0616075
background2	0.18382	0.1301305	0.103051	0.066417	0.0589819	0.0701323
background3	0.1672315	0.1117295	0.0995479	0.00660379	0.08247065	0.0710652
background4	0.0912142	0.1259435	0.105307	0.0740332	0.08551165	0.0698092
background5	0.147029	0.1311365	0.109952	0.0414858	0.06800235	0.0742441
background6	0.1170375	0.11694	0.101968	0.0649797	0.07082305	0.0753555
background7	0.0904596	0.1238175	0.105151	0.112122	0.06824555	0.068655
background8	0.1637955	0.1221185	0.107808	0.0365092	0.0580944	0.0651025
background9	0.1178685	0.117842	0.103594	0.183468	0.0794173	0.0645469
background10	0.0891528	0.1293575	0.102946	0.0210253	0.0825042	0.0639276
background11	0.146297	0.1127555	0.100198	0.321305	0.06777295	0.0702763
background12	0.0913572	0.1292435	0.107365	0.247566	0.06980655	0.071729
background13	0.1428775	0.09744575	0.0993839	-0.010203	0.0733616	0.0621029
background14	0.04038505	0.1317295	0.103272	0.0959556	0.07643365	0.0657692
background15	0.13873	0.132261	0.101694	0.098075	0.07820335	0.0738557
background16	0.137199	0.130281	0.104166	0.00529678	0.06543865	0.0638029
background17	0.125975	0.119149	0.102041	0.0342857	0.07279665	0.0669746
background18	0.1214225	0.1109495	0.105372	-0.00598802	0.0774815	0.0735459
background19	0.142906	0.123271	0.10259	0.334651	0.08901505	0.0643072
background20	0.1208655	0.116308	0.102748	0.00886265	0.06664715	0.0681744
background21	0.1371265	0.1333975	0.105815	0.0451318	0.07250835	0.0656353
background22	0.14553145	0.1238385	0.107932	0.00995151	0.06196385	0.0666297
background23	0.118549	0.1045285	0.103851	0.0321257	0.04458805	0.0734017
background24	0.168214	0.135577	0.106876	0.11331	0.07999995	0.0735459
background25	0.134112	0.1093245	0.0997444	0.168195	0.08787675	0.0607598
background26	0.125318	0.10776	0.109234	0.0611996	0.0701817	0.0670696
background27	0.16452	0.130367	0.0952881	0.0798853	0.098013	0.0669029
background28	0.159989	0.103383	0.104679	0.00300407	0.0770397	0.0651718
background29	0.138131	0.115767	0.102748	0.271806	0.0843116	0.0623324
background30	0.115014	0.112268	0.104553	0.0304437	0.0931986	0.0640622
background31	0.134737	0.09512335	0.102432	0.015379	0.0687393	0.068655
background32	0.0893144	0.114821	0.100095	0.0411099	0.06711695	0.0616075
background33	0.1528765	0.1207105	0.108748	0.312606	0.08496195	0.0666667
background34	0.0957436	0.111186	0.10149	0.285993	0.05730375	0.0652551
background35	0.1614885	0.11199	0.103206	0.278917	0.07368585	0.0643734
background36	0.1563875	0.09688855	0.102559	0.032183	0.08768895	0.0698672
background37	0.150822	0.10065295	0.104166	0.141584	0.07445355	0.0702878
background38	0.1432575	0.1240495	0.104675	0.0377808	0.09279515	0.0745993
background39	0.1344135	0.117295	0.110192	0.183101	0.05727655	0.0690222
background40	0.1466965	0.122808	0.106327	0.200344	0.08615325	0.0627802
background41	0.1752085	0.127586	0.10435	0.0466426	0.0494116	0.0658322
background42	0.1905485	0.099902	0.102041	0.0210253	0.07778305	0.0785305
background43	0.2050725	0.1119335	0.105151	0.0716637	0.08583645	0.0772067
background44	0.178749	0.1130445	0.103051	0.0908283	0.0654968	0.0754423
background45	0.133768	0.1585485	0.099259	0.0311611	0.07315145	0.0700464
background46	0.137076	0.1193765	0.102819	0.323069	0.0930742	0.0737368
background47	0.151558	0.1065925	0.105302	0.223634	0.05742225	0.0705155
background48	0.143122	0.143036	0.103991	0.00288891	0.0690207	0.0721892
background49	0.1826875	0.1203265	0.104167	0.00995151	0.0826381	0.0665741
background50	0.08863935	0.1347805	0.105151	0.0651882	0.09514305	0.070766
background51	0.1157185	0.1266615	0.110532	0.305514	0.0543897	0.0718548
background52	0.1678675	0.10553	0.105897	0.0164676	0.09894615	0.0668929
background53	0.09990455	0.09932525	0.0997444	0.0363793	0.05561145	0.0690483
background54	0.1117425	0.1271	0.105357	0.308534	0.0803474	0.0681744
background55	0.17123	0.1229875	0.105722	0.000322198	0.06413665	0.0668479
background56	0.08183525	0.1106595	0.107152	0.00219007	0.06748485	0.0669029
background57	0.2206895	0.1206245	0.107699	0.326531	0.0565691	0.0684522
background58	0.08265365	0.12537	0.104953	0.0407835	0.06806505	0.0749395
background59	0.09793235	0.1081805	0.100677	0.164598	0.07654055	0.0718548
background60	0.10468245	0.114287	0.105506	0.0454381	0.0630418	0.0755324
background61	0.1899845	0.10047	0.100966	0.0106174	0.0614406	0.0744456
background62	0.1254195	0.119077	0.102041	0.062996	0.0711136	0.0742424
background63	0.09168655	0.125084	0.099259	0.0497307	0.09066105	0.0640909
background64	0.181377	0.11765	0.10047	0.00751461	0.07592845	0.0712918
background65	0.154395	0.1102955	0.108374	0.255911	0.0695246	0.0702878
background66	0.123325	0.0929506	0.106284	0.293901	0.0504629	0.0670696
background67	0.10898245	0.103784	0.101699	0.0207421	0.07687805	0.0698435
background68	0.1149535	0.1207535	0.104648	0.0306122	0.0532873	0.073592
background69	0.1314275	0.131273	0.105722	0.389833	0.07870125	0.0719507
background70	0.1289095	0.1166845	0.0977099	0.321629	0.0775237	0.0669688
background71	0.162015	0.1231235	0.0982595	0.0308595	0.05233605	0.0643163
background72	0.15537	0.1050005	0.109678	0.295005	0.06273145	0.0725451
background73	0.11811	0.1309305	0.102531	0.305897	0.0749577	0.0622158
background74	0.1568605	0.1201395	0.103051	0.181593	0.07038455	0.0702938
background75	0.137274	0.1199395	0.105436	-0.00467833	0.06839805	0.0690483
background76	0.2180005	0.121147	0.105918	0.0173775	0.07444555	0.0714286
background77	0.10151275	0.1142155	0.103533	0.0191559	0.09129455	0.0681829
background78	0.1737645	0.10723	0.102404	-0.00831788	0.0797416	0.0690492
background79	0.1576645	0.1148675	0.105302	0.382719	0.07098545	0.0643734
background80	0.1872925	0.1256055	0.108133	0.119476	0.09084605	0.0651025
background81	0.175454	0.1092775	0.104211	0.0314846	0.0692736	0.0618557
background82	0.143789	0.13066	0.10905	0.12869	0.0767413	0.0758884
background83	0.1274265	0.09268825	0.10805	0.389176	0.07870925	0.0643316
background84	0.12562	0.1153805	0.0973361	0.0576605	0.07291495	0.067756
background85	0.1410675	0.1182145	0.108098	0.0363629	0.07869355	0.0718548
background86	0.152695	0.1398065	0.104053	0.0629786	0.0623693	0.0705677
background87	0.133586	0.112895	0.107218	0.120917	0.0937434	0.0651435
background88	0.113848	0.124558	0.100849	0.0888928	0.0796655	0.0710011
background89	0.1964655	0.114727	0.100849	0.0785305	0.0711461	0.0712918
background90	0.1239745	0.124673	0.108748	0.159386	0.04319465	0.0663408
background91	0.165542	0.113762	0.10047	0.0103093	0.06251375	0.0616075
background92	0.06499375	0.114876	0.103508	0.0308595	0.0712029	0.0660196
background93	0.17959	0.1148075	0.099259	0.199703	0.07953815	0.0645469
background94	0.103057	0.1208345	0.10047	0.234463	0.07485365	0.0742424
background95	0.145813	0.0999569	0.104275	0.109175	0.0506492	0.0713743
background96	0.136195	0.12063	0.107769	-0.00593417	0.0547839	0.0670032
background97	0.1097989	0.12302	0.107932	0.00681854	0.0500643	0.0772765
background98	0.1212015	0.110349	0.10259	0.0073611	0.04969025	0.0705723
background99	0.1057665	0.144993	0.104773	0.0313099	0.0770186	0.0676559
background100	0.1352835	0.154102	0.103206	-0.00602025	0.0755431	0.0670696
background101	0.1276035	0.126955	0.10047	0.0769773	0.06103895	0.0624765
background102	0.09131635	0.11453	0.100849	0.140141	0.0532898	0.0653727
background103	0.166701	0.120607	0.104675	0.0469964	0.0646543	0.067756
background104	0.0840192	0.1177405	0.108374	0.0689076	0.0869386	0.0663512
background105	0.134343	0.133862	0.107932	0.246194	0.06242715	0.0702878
background106	0.119705	0.133232	0.108079	0.212965	0.0675221	0.0707837
background107	0.1036437	0.1118155	0.103422	-0.00657738	0.0581206	0.0676127
background108	0.09072785	0.1100325	0.110532	0.230156	0.07293005	0.068482
background109	0.178358	0.1443645	0.102481	0.141722	0.05192415	0.0696891
background110	0.168565	0.1200795	0.104403	0.287854	0.0587334	0.0728151
background111	0.1496785	0.120752	0.104156	0.0120209	0.0629421	0.0684746
background112	0.143776	0.132456	0.102041	0.0275449	0.0835582	0.0722116
background113	0.121692	0.111655	0.100255	0.0698006	0.06076745	0.0662301
background114	0.135693	0.1221665	0.0963522	0.123	0.0690734	0.0684127
background115	0.184092	0.113018	0.107601	0.0164971	0.0809499	0.0622463
background116	0.09421975	0.138737	0.095334	0.0411099	0.05898145	0.0714286
background117	0.1691165	0.1050305	0.100821	0.322664	0.0999458	0.0624598
background118	0.166974	0.0993513	0.105538	0.00324153	0.0723905	0.0774318
background119	0.11040585	0.125868	0.108748	0.0302011	0.0761481	0.0702878
background120	0.145457	0.134174	0.0990001	0.0151567	0.08635	0.0718548
background121	0.1756845	0.1143445	0.102896	0.127033	0.06510175	0.0673155
background122	0.117725	0.1246255	0.0981509	-0.00878935	0.078127	0.0702878
background123	0.123244	0.1086805	0.102124	0.0153934	0.0594599	0.0756162
background124	0.19018	0.120287	0.10047	0.0189484	0.0904079	0.0714286
background125	0.1346765	0.1464125	0.101694	0.123917	0.0842075	0.0721892
