AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
True	0.046696	0.04413285	0.0626357
background1	0.0993097	0.08325365	0.0727094
background2	0.08547	0.07161625	0.0750494
background3	0.0514931	0.082101	0.072945
background4	0.0537438	0.0681318	0.0704741
background5	0.0503519	0.07295295	0.0672873
background6	0.0447296	0.08285365	0.0770397
background7	0.07441415	0.0727559	0.0750475
background8	0.0192668	0.06545955	0.0718548
background9	0.0614726	0.0708582	0.0717425
background10	0.0419674	0.0782853	0.074182
background11	0.0602126	0.08115535	0.0721892
background12	0.07369825	0.0805992	0.0730328
background13	0.0452332	0.07458655	0.0676127
background14	0.05744695	0.0611701	0.072489
background15	0.03970175	0.0772538	0.076827
background16	0.03318005	0.0835882	0.0725995
background17	0.0707576	0.09478815	0.0718548
background18	0.11241095	0.05979855	0.0774506
background19	0.06170225	0.06891645	0.0721518
background20	0.057241	0.08544145	0.074367
background21	0.05717535	0.06165995	0.0733599
background22	0.08030985	0.06898195	0.0733772
background23	0.0719121	0.06827345	0.0721535
background24	0.05989305	0.06631785	0.0693089
background25	0.04660875	0.07031615	0.0729589
background26	0.05093745	0.0688656	0.072489
background27	0.0687022	0.0716719	0.0736701
background28	0.0703834	0.07602535	0.0721892
background29	0.02645585	0.06726095	0.0725812
background30	0.0519727	0.07812795	0.0705723
background31	0.0700269	0.0748868	0.0721892
background32	0.0779035	0.07100045	0.0719814
background33	0.0560265	0.0819942	0.0725995
background34	0.0386909	0.0595546	0.0684271
background35	0.0347462	0.0697333	0.0732827
background36	0.0450915	0.06517465	0.0714218
background37	0.0294531	0.0693036	0.0760455
background38	0.02286705	0.07259885	0.073592
background39	0.05818875	0.0696455	0.0718608
background40	0.0553371	0.0836416	0.0698672
background41	0.07811385	0.07110955	0.0770397
background42	0.0286886	0.07010435	0.0709177
background43	0.0416089	0.06860255	0.0670696
background44	0.0380198	0.0682656	0.0737014
background45	0.03926125	0.0682487	0.0686036
background46	0.03503065	0.07920165	0.070706
background47	0.0771753	0.06222105	0.0730328
background48	0.0845822	0.0835346	0.0696844
background49	0.0597322	0.05906985	0.0751345
background50	0.03872815	0.06334895	0.072489
background51	0.0481165	0.07216345	0.0703687
background52	0.0511898	0.0618457	0.0721892
background53	0.112189	0.0754172	0.0718548
background54	0.03975815	0.0614695	0.0715786
background55	0.09654975	0.06636485	0.0763816
background56	0.0722407	0.0770322	0.0755137
background57	0.0598478	0.0686916	0.07316
background58	0.07521475	0.07586075	0.0693089
background59	0.0413842	0.06920785	0.0736701
background60	0.0383851	0.07001885	0.0702878
background61	0.0715274	0.0654851	0.0721925
background62	0.03707205	0.079133	0.0743804
background63	0.03917925	0.0614254	0.0718548
background64	0.01538325	0.06641005	0.0714286
background65	0.02520205	0.0642855	0.0698672
background66	0.0411338	0.0833938	0.0761471
background67	0.0761011	0.07260365	0.0732695
background68	0.0775669	0.06899865	0.0732723
background69	0.04937815	0.0874897	0.0744559
background70	0.0340443	0.0805442	0.0724916
background71	0.07510755	0.0770898	0.0702878
background72	0.04328835	0.06998605	0.070323
background73	0.07133445	0.06835375	0.0691778
background74	0.0824236	0.06589705	0.0730328
background75	0.07371705	0.06608775	0.0690461
background76	0.0669668	0.0709205	0.0718548
background77	0.1351445	0.06594305	0.0691853
background78	0.0832955	0.07790465	0.0721892
background79	0.0679997	0.0681985	0.0772765
background80	0.09459635	0.08374095	0.0702878
background81	0.02675175	0.071139	0.0732403
background82	0.0580507	0.070861	0.0702878
background83	0.05766965	0.0598726	0.0730328
background84	0.03894895	0.0621216	0.0711689
background85	0.0773487	0.08011635	0.0710011
background86	0.0633489	0.0716417	0.072896
background87	0.0394613	0.0691742	0.0718548
background88	0.127291	0.0592963	0.0750494
background89	0.05313395	0.0679696	0.0732827
background90	0.08501635	0.0778736	0.0730328
background91	0.07329625	0.06457775	0.0772765
background92	0.04837025	0.0572149	0.0705723
background93	0.0763427	0.08687905	0.0670696
background94	0.07832115	0.06968575	0.0669306
background95	0.0488901	0.0689806	0.0702878
background96	0.120375	0.0686312	0.0713102
background97	0.0700189	0.0865985	0.0716066
background98	0.03997525	0.0923461	0.0736701
background99	0.06335365	0.0693089	0.0685133
background100	0.0523785	0.06859215	0.0716527
background101	0.0551972	0.07064445	0.0739617
background102	0.06218335	0.0767413	0.0742424
background103	0.05750925	0.066221	0.0716066
